tanggal_transaksi,nama_cabang,level,customer_group,nama_barang,brand,harga,kemasan,jumlah_barang
2022-01-31,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,10
2022-03-27,"APOTEK TAPAK",Company,Apotek,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,18
2022-04-19,"APOTEK SAHABAT",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,12
2022-01-21,"KLINIK GM",Company,Klinik,AMPICILLIN,MARCKS,17000,BOTOL,9
2022-04-07,"APOTEK MERDEKA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,24
2022-04-12,"APOTEK MAJA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,67
2022-05-01,"KLINIK SAHABAT",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,14
2022-06-13,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,67
2022-05-27,"APOTEK TAPAK",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,5
2022-01-27,"KLINIK SAHABAT",Company,Klinik,"ACYCLOVIR DUS","OGB & PH",96000,DUS,24
2022-01-28,"APOTEK MERDEKA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,12
2022-01-30,"KLINIK SAHABAT",Company,Klinik,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,5
2022-03-08,"APOTEK MERDEKA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,1
2022-06-16,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,34
2022-05-30,"APOTEK MERDEKA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,1
2022-01-28,"APOTEK SAHABAT",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,12
2022-05-13,"KLINIK GM",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,24
2022-05-20,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,67
2022-01-30,"APOTEK SINAR JAYA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,14
2022-02-03,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,25
2022-01-28,"APOTEK SINAR JAYA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,12
2022-01-27,"KLINIK SAHABAT",Company,Klinik,"ACYCLOVIR DUS","OGB & PH",96000,DUS,12
2022-04-17,"APOTEK SAHABAT",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,9
2022-01-31,"KLINIK GM",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,18
2022-01-30,"APOTEK MAJA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,18
2022-03-15,"APOTEK MERDEKA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,17
2022-05-02,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,18
2022-05-24,"KLINIK SAHABAT",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,8
2022-04-13,"KLINIK GM",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,98
2022-02-07,"KLINIK SAHABAT",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,130
2022-03-07,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,13
2022-01-23,"APOTEK SAHABAT",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,25
2022-01-28,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,25
2022-02-01,"APOTEK SAHABAT",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,9
2022-01-31,"APOTEK TAPAK",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,18
2022-04-05,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,25
2022-01-27,"KLINIK DR. ANDRI",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,10
2022-03-04,"KLINIK DR. ANDRI",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,1
2022-01-23,"APOTEK MERDEKA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,2
2022-01-31,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,4
2022-05-14,"APOTEK MERDEKA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,10
2022-03-18,"APOTEK SAHABAT",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,12
2022-04-18,"APOTEK MAJA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,25
2022-01-31,"APOTEK MERDEKA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,67
2022-01-31,"APOTEK TAPAK",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,45
2022-04-29,"APOTEK MERDEKA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,34
2022-06-04,"APOTEK TAPAK",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,4
2022-01-28,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,25
2022-01-28,"APOTEK MERDEKA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,5
2022-05-23,"APOTEK MERDEKA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,4
2022-01-23,"APOTEK SAHABAT",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,34
2022-01-31,"KLINIK GM",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,100
2022-06-16,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,34
2022-01-27,"APOTEK SINAR JAYA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,8
2022-03-12,"APOTEK TAPAK",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,23
2022-04-04,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,12
2022-01-30,"APOTEK SINAR JAYA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,8
2022-03-16,"KLINIK SAHABAT",Company,Klinik,"ACYCLOVIR DUS","OGB & PH",96000,DUS,11
2022-01-23,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,4
2022-02-01,"APOTEK MAJA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,18
2022-06-05,"APOTEK MAJA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,2
2022-05-03,"APOTEK SAHABAT",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,22
2022-01-28,"APOTEK SAHABAT",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,21
2022-01-23,"APOTEK MERDEKA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,14
2022-01-23,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,98
2022-01-23,"APOTEK SAHABAT",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,5
2022-04-17,"KLINIK SAHABAT",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,21
2022-01-27,"KLINIK SAHABAT",Company,Klinik,"ACYCLOVIR DUS","OGB & PH",96000,DUS,34
2022-01-23,"KLINIK SAHABAT",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,48
2022-01-23,"KLINIK SAHABAT",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,25
2022-06-02,"APOTEK SAHABAT",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,1
2022-05-02,"APOTEK SAHABAT",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,6
2022-02-17,"KLINIK DR. ANDRI",Company,Klinik,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,22
2022-04-30,"KLINIK SAHABAT",Company,Klinik,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,44
2022-01-31,"APOTEK SAHABAT",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,23
2022-04-10,"APOTEK SAHABAT",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,12
2022-01-27,"APOTEK MAJA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,12
2022-03-05,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,5
2022-01-28,"APOTEK MERDEKA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,14
2022-02-21,"APOTEK MERDEKA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,24
2022-04-08,"KLINIK SAHABAT",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,10
2022-01-23,"APOTEK MERDEKA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,24
2022-02-10,"APOTEK TAPAK",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,67
2022-01-30,"KLINIK SAHABAT",Company,Klinik,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,10
2022-06-08,"KLINIK SAHABAT",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,12
2022-04-18,"KLINIK DR. ANDRI",Company,Klinik,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,10
2022-01-27,"APOTEK SINAR JAYA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,9
2022-03-02,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,8
2022-01-30,"KLINIK SAHABAT",Company,Klinik,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,48
2022-01-31,"APOTEK TAPAK",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,79
2022-01-23,"KLINIK SAHABAT",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,44
2022-02-01,"APOTEK MERDEKA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,67
2022-01-31,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,21
2022-01-30,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,34
2022-01-28,"APOTEK MERDEKA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,34
2022-01-28,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,10
2022-01-30,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,100
2022-04-30,"APOTEK MAJA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,25
2022-03-17,"APOTEK SINAR JAYA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,12
2022-01-23,"APOTEK TAPAK",Company,Apotek,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,1
2022-05-18,"KLINIK DR. ANDRI",Company,Klinik,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,67
2022-01-28,"APOTEK SAHABAT",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,34
2022-02-02,"KLINIK DR. ANDRI",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,12
2022-01-31,"APOTEK SAHABAT",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,22
2022-01-30,"APOTEK MAJA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,12
2022-04-14,"APOTEK MERDEKA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,5
2022-01-27,"KLINIK DR. ANDRI",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,1
2022-02-01,"APOTEK MERDEKA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,19
2022-02-22,"KLINIK SAHABAT",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,10
2022-02-05,"KLINIK GM",Company,Klinik,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,24
2022-01-28,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,67
2022-01-31,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,130
2022-06-14,"APOTEK MERDEKA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,15
2022-04-30,"APOTEK MERDEKA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,25
2022-02-01,"APOTEK MAJA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,34
2022-02-01,"KLINIK SAHABAT",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,8
2022-06-16,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,25
2022-02-01,"APOTEK SAHABAT",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,12
2022-05-03,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,19
2022-04-03,"KLINIK DR. ANDRI",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,22
2022-05-19,"APOTEK TAPAK",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,98
2022-05-03,"KLINIK DR. ANDRI",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,79
2022-02-01,"APOTEK SAHABAT",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,8
2022-02-26,"APOTEK MAJA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,67
2022-01-30,"KLINIK SAHABAT",Company,Klinik,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,1
2022-04-28,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,34
2022-01-30,"KLINIK DR. ANDRI",Company,Klinik,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,14
2022-01-30,"KLINIK DR. ANDRI",Company,Klinik,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,20
2022-01-23,"KLINIK SAHABAT",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,1
2022-01-30,"APOTEK SINAR JAYA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,10
2022-05-28,"APOTEK MAJA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,9
2022-05-19,"KLINIK DR. ANDRI",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,10
2022-01-23,"APOTEK MERDEKA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,76
2022-05-15,"KLINIK SAHABAT",Company,Klinik,"ACYCLOVIR DUS","OGB & PH",96000,DUS,130
2022-01-23,"APOTEK SAHABAT",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,120
2022-01-30,"KLINIK SAHABAT",Company,Klinik,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,17
2022-06-06,"KLINIK GM",Company,Klinik,AMPICILLIN,MARCKS,17000,BOTOL,17
2022-01-23,"APOTEK TAPAK",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,25
2022-03-22,"KLINIK GM",Company,Klinik,AMPICILLIN,MARCKS,17000,BOTOL,67
2022-02-01,"KLINIK SAHABAT",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,11
2022-01-28,"APOTEK SINAR JAYA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,10
2022-02-01,"KLINIK SAHABAT",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,4
2022-05-03,"APOTEK MAJA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,98
2022-05-22,"APOTEK MERDEKA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,8
2022-06-09,"APOTEK SINAR JAYA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,12
2022-01-20,"APOTEK MAJA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,5
2022-05-21,"KLINIK GM",Company,Klinik,AMPICILLIN,MARCKS,17000,BOTOL,4
2022-01-27,"KLINIK DR. ANDRI",Company,Klinik,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,47000,TABLET,12
2022-02-01,"APOTEK TAPAK",Company,Apotek,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,22
2022-02-01,"APOTEK SAHABAT",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,12
2022-02-23,"APOTEK SINAR JAYA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,120
2022-01-28,"KLINIK GM",Company,Klinik,PARACETAMOL,SLCYL,21000,BOTOL,95
2022-04-30,"APOTEK MERDEKA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,44
2022-01-30,"APOTEK MAJA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,14
2022-01-27,"APOTEK SINAR JAYA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,45
2022-01-23,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,14
2022-01-23,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,67
2022-04-26,"APOTEK TAPAK",Company,Apotek,"TETRACYCLINE KAPSUL 250 MG",MARCKS,9800,TABLET,45
2022-04-30,"APOTEK SAHABAT",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,14
2022-01-23,"APOTEK MAJA",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,7
2022-05-02,"APOTEK TAPAK",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,34
2022-04-20,"APOTEK MERDEKA",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,24
2022-01-28,"APOTEK SINAR JAYA",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,45
2022-04-21,"APOTEK MAJA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,14
2022-04-19,"APOTEK SINAR JAYA",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,120
2022-01-23,"APOTEK TAPAK",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,10
2022-01-23,"APOTEK TAPAK",Company,Apotek,AMPICILLIN,MARCKS,17000,BOTOL,22
2022-02-11,"APOTEK MAJA",Company,Apotek,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,98
2022-02-01,"APOTEK MERDEKA",Company,Apotek,"KETOCONAZOLE TABLET 200 MG","OGB & PH",39000,TABLET,67
2022-01-31,"APOTEK TAPAK",Company,Apotek,"ACYCLOVIR DUS","OGB & PH",96000,DUS,22
2022-01-31,"APOTEK MERDEKA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,17
2022-01-30,"KLINIK DR. ANDRI",Company,Klinik,"TRAMADOL KAPSUL 50 MG",VNS,24500,TABLET,6
2022-06-10,"APOTEK SAHABAT",Company,Apotek,"ERGOTAMINE COFFEINE",ETIKAL,64700,BOTOL,25
2022-01-28,"APOTEK SAHABAT",Company,Apotek,"ALERGINE TABLET SALUT",ETIKAL,112000,DUS,9
2022-01-31,"APOTEK MERDEKA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,4
2022-01-27,"APOTEK MAJA",Company,Apotek,"AMBROXOL HC",VNS,31000,BOTOL,25
